"","Easting","Northing","anomaly"
"3009",30,8,-0.487680209698558
"3010",30,9,-0.487680209698558
"3011",30,10,-0.387680209698559
"3012",30,11,-0.387680209698559
"3013",30,12,-0.287680209698557
"3014",30,13,-0.287680209698557
"3018",30,17,0.0123197903014418
"3019",30,18,0.112319790301441
"3020",30,19,0.412319790301442
"3021",30,20,0.412319790301442
"3022",30,21,0.512319790301442
"3023",30,22,0.412319790301442
"3024",30,23,0.412319790301442
"3025",30,24,0.212319790301443
"3026",30,25,0.212319790301443
"3027",30,26,0.112319790301441
"3028",30,27,0.0123197903014418
"3029",30,28,0.0123197903014418
"3030",30,29,-0.187680209698557
"3031",30,30,-0.0876802096985578
"3032",30,31,-0.187680209698557
"3033",30,32,-0.187680209698557
"3034",30,33,-0.0876802096985578
"3035",30,34,-0.287680209698557
"3036",30,35,-0.387680209698559
"3037",30,36,-0.487680209698558
"3038",30,37,-0.487680209698558
"3051",30,50,-0.587680209698558
"3052",30,51,-0.387680209698559
"3053",30,52,-0.487680209698558
"3054",30,53,-0.487680209698558
"3058",30,57,-0.287680209698557
"3059",30,58,-0.187680209698557
"3060",30,59,-0.187680209698557
"3061",30,60,-0.287680209698557
"3062",30,61,-0.287680209698557
"3063",30,62,-0.187680209698557
"3064",30,63,-0.387680209698559
"3065",30,64,-0.287680209698557
"3066",30,65,-0.287680209698557
"3067",30,66,-0.287680209698557
"3068",30,67,-0.187680209698557
"3069",30,68,-0.187680209698557
"3070",30,69,-0.187680209698557
"3071",30,70,0.0123197903014418
"3072",30,71,0.112319790301441
"3073",30,72,0.212319790301443
"3074",30,73,0.312319790301443
"3075",30,74,0.412319790301442
"3076",30,75,0.512319790301442
"3077",30,76,0.512319790301442
"3078",30,77,0.812319790301443
"3079",30,78,0.812319790301443
"3080",30,79,0.812319790301443
"3081",30,80,0.812319790301443
"3082",30,81,0.412319790301442
"3083",30,82,0.212319790301443
"3084",30,83,0.112319790301441
"3085",30,84,-0.187680209698557
"3086",30,85,-0.387680209698559
"3093",30,92,-1.48768020969856
"3094",30,93,-1.68768020969856
"3095",30,94,-1.78768020969856
"3096",30,95,-1.98768020969856
"3097",30,96,-2.08768020969856
"3110",31,9,-0.287680209698557
"3111",31,10,-0.187680209698557
"3112",31,11,-0.0876802096985578
"3113",31,12,-0.287680209698557
"3114",31,13,-0.0876802096985578
"3118",31,17,0.112319790301441
"3119",31,18,0.212319790301443
"3120",31,19,0.412319790301442
"3121",31,20,0.512319790301442
"3122",31,21,0.512319790301442
"3123",31,22,0.412319790301442
"3124",31,23,0.412319790301442
"3125",31,24,0.312319790301443
"3126",31,25,0.312319790301443
"3127",31,26,0.312319790301443
"3128",31,27,0.312319790301443
"3129",31,28,0.212319790301443
"3130",31,29,0.112319790301441
"3131",31,30,0.112319790301441
"3132",31,31,0.0123197903014418
"3133",31,32,0.0123197903014418
"3134",31,33,0.0123197903014418
"3135",31,34,-0.0876802096985578
"3136",31,35,-0.187680209698557
"3137",31,36,-0.187680209698557
"3138",31,37,-0.287680209698557
"3149",31,48,-0.387680209698559
"3150",31,49,-0.487680209698558
"3151",31,50,-0.487680209698558
"3152",31,51,-0.287680209698557
"3153",31,52,-0.387680209698559
"3154",31,53,-0.287680209698557
"3155",31,54,-0.287680209698557
"3156",31,55,-0.287680209698557
"3157",31,56,-0.287680209698557
"3158",31,57,-0.187680209698557
"3159",31,58,-0.287680209698557
"3160",31,59,-0.287680209698557
"3161",31,60,-0.187680209698557
"3162",31,61,-0.187680209698557
"3163",31,62,-0.0876802096985578
"3164",31,63,-0.287680209698557
"3165",31,64,-0.287680209698557
"3166",31,65,-0.187680209698557
"3167",31,66,-0.287680209698557
"3168",31,67,-0.287680209698557
"3169",31,68,-0.187680209698557
"3170",31,69,-0.287680209698557
"3171",31,70,-0.0876802096985578
"3172",31,71,0.112319790301441
"3173",31,72,0.212319790301443
"3174",31,73,0.412319790301442
"3175",31,74,0.412319790301442
"3176",31,75,0.412319790301442
"3177",31,76,0.512319790301442
"3178",31,77,0.712319790301443
"3179",31,78,0.812319790301443
"3180",31,79,0.612319790301441
"3181",31,80,0.712319790301443
"3182",31,81,0.412319790301442
"3183",31,82,0.312319790301443
"3184",31,83,0.0123197903014418
"3185",31,84,-0.0876802096985578
"3186",31,85,-0.387680209698559
"3187",31,86,-0.487680209698558
"3194",31,93,-1.68768020969856
"3195",31,94,-1.88768020969856
"3196",31,95,-2.08768020969856
"3197",31,96,-2.28768020969856
"3210",32,9,-0.387680209698559
"3211",32,10,-0.187680209698557
"3212",32,11,-0.0876802096985578
"3213",32,12,-0.0876802096985578
"3214",32,13,0.0123197903014418
"3215",32,14,0.0123197903014418
"3219",32,18,0.312319790301443
"3220",32,19,0.412319790301442
"3221",32,20,0.612319790301441
"3222",32,21,0.712319790301443
"3223",32,22,0.712319790301443
"3224",32,23,0.712319790301443
"3225",32,24,0.512319790301442
"3226",32,25,0.512319790301442
"3227",32,26,0.512319790301442
"3228",32,27,0.512319790301442
"3229",32,28,0.412319790301442
"3230",32,29,0.412319790301442
"3231",32,30,0.312319790301443
"3232",32,31,0.212319790301443
"3233",32,32,0.212319790301443
"3234",32,33,0.212319790301443
"3235",32,34,0.112319790301441
"3236",32,35,0.0123197903014418
"3237",32,36,-0.0876802096985578
"3238",32,37,-0.0876802096985578
"3239",32,38,-0.0876802096985578
"3248",32,47,-0.287680209698557
"3249",32,48,-0.387680209698559
"3250",32,49,-0.387680209698559
"3251",32,50,-0.187680209698557
"3252",32,51,-0.187680209698557
"3253",32,52,-0.287680209698557
"3254",32,53,-0.187680209698557
"3255",32,54,-0.287680209698557
"3256",32,55,-0.287680209698557
"3257",32,56,-0.287680209698557
"3258",32,57,-0.187680209698557
"3259",32,58,-0.187680209698557
"3260",32,59,-0.0876802096985578
"3261",32,60,-0.187680209698557
"3262",32,61,-0.0876802096985578
"3263",32,62,0.0123197903014418
"3264",32,63,-0.0876802096985578
"3265",32,64,-0.187680209698557
"3266",32,65,-0.187680209698557
"3267",32,66,-0.287680209698557
"3268",32,67,-0.387680209698559
"3270",32,69,-0.187680209698557
"3271",32,70,-0.187680209698557
"3272",32,71,0.0123197903014418
"3273",32,72,0.212319790301443
"3274",32,73,0.212319790301443
"3275",32,74,0.212319790301443
"3276",32,75,0.212319790301443
"3277",32,76,0.512319790301442
"3278",32,77,0.612319790301441
"3279",32,78,0.612319790301441
"3280",32,79,0.412319790301442
"3281",32,80,0.512319790301442
"3282",32,81,0.512319790301442
"3283",32,82,0.112319790301441
"3284",32,83,0.0123197903014418
"3285",32,84,-0.287680209698557
"3286",32,85,-0.387680209698559
"3287",32,86,-0.687680209698557
"3294",32,93,-1.78768020969856
"3295",32,94,-1.88768020969856
"3296",32,95,-2.08768020969856
"3297",32,96,-2.18768020969856
"3300",32,99,-2.38768020969856
"3312",33,9,-0.287680209698557
"3313",33,10,-0.187680209698557
"3314",33,11,-0.0876802096985578
"3315",33,12,0.0123197903014418
"3316",33,13,0.0123197903014418
"3317",33,14,0.112319790301441
"3318",33,15,0.212319790301443
"3319",33,16,0.212319790301443
"3321",33,18,0.312319790301443
"3322",33,19,0.412319790301442
"3323",33,20,0.512319790301442
"3324",33,21,0.512319790301442
"3325",33,22,0.712319790301443
"3326",33,23,0.612319790301441
"3327",33,24,0.512319790301442
"3328",33,25,0.612319790301441
"3329",33,26,0.612319790301441
"3330",33,27,0.512319790301442
"3331",33,28,0.612319790301441
"3332",33,29,0.612319790301441
"3333",33,30,0.512319790301442
"3334",33,31,0.412319790301442
"3335",33,32,0.312319790301443
"3336",33,33,0.212319790301443
"3337",33,34,0.212319790301443
"3338",33,35,0.112319790301441
"3339",33,36,0.112319790301441
"3340",33,37,0.212319790301443
"3341",33,38,0.112319790301441
"3342",33,39,0.0123197903014418
"3343",33,40,0.0123197903014418
"3344",33,41,-0.0876802096985578
"3346",33,43,-0.0876802096985578
"3347",33,44,-0.0876802096985578
"3350",33,47,-0.187680209698557
"3351",33,48,-0.287680209698557
"3352",33,49,-0.387680209698559
"3353",33,50,-0.287680209698557
"3354",33,51,-0.0876802096985578
"3355",33,52,0.0123197903014418
"3356",33,53,-0.0876802096985578
"3357",33,54,-0.0876802096985578
"3358",33,55,-0.187680209698557
"3359",33,56,-0.187680209698557
"3360",33,57,-0.187680209698557
"3361",33,58,-0.0876802096985578
"3362",33,59,-0.0876802096985578
"3363",33,60,-0.0876802096985578
"3364",33,61,0.0123197903014418
"3365",33,62,-0.0876802096985578
"3366",33,63,0.0123197903014418
"3367",33,64,0.112319790301441
"3368",33,65,-0.0876802096985578
"3369",33,66,-0.287680209698557
"3373",33,70,-0.287680209698557
"3374",33,71,-0.0876802096985578
"3375",33,72,-0.0876802096985578
"3376",33,73,0.0123197903014418
"3377",33,74,0.0123197903014418
"3378",33,75,0.0123197903014418
"3379",33,76,0.112319790301441
"3380",33,77,0.412319790301442
"3381",33,78,0.412319790301442
"3382",33,79,0.312319790301443
"3383",33,80,0.212319790301443
"3384",33,81,0.112319790301441
"3385",33,82,-0.0876802096985578
"3386",33,83,-0.187680209698557
"3387",33,84,-0.387680209698559
"3388",33,85,-0.487680209698558
"3389",33,86,-0.687680209698557
"3397",33,94,-2.08768020969856
"3398",33,95,-2.18768020969856
"3399",33,96,-2.28768020969856
"3415",34,9,-0.287680209698557
"3416",34,10,-0.0876802096985578
"3417",34,11,0.0123197903014418
"3418",34,12,0.112319790301441
"3419",34,13,0.212319790301443
"3420",34,14,0.212319790301443
"3421",34,15,0.312319790301443
"3422",34,16,0.312319790301443
"3423",34,17,0.412319790301442
"3425",34,19,0.512319790301442
"3426",34,20,0.612319790301441
"3427",34,21,0.712319790301443
"3428",34,22,0.712319790301443
"3429",34,23,0.612319790301441
"3430",34,24,0.612319790301441
"3431",34,25,0.712319790301443
"3432",34,26,0.712319790301443
"3433",34,27,0.712319790301443
"3434",34,28,0.712319790301443
"3435",34,29,0.712319790301443
"3436",34,30,0.612319790301441
"3437",34,31,0.512319790301442
"3438",34,32,0.512319790301442
"3439",34,33,0.512319790301442
"3440",34,34,0.312319790301443
"3441",34,35,0.312319790301443
"3442",34,36,0.212319790301443
"3443",34,37,0.312319790301443
"3444",34,38,0.312319790301443
"3445",34,39,0.212319790301443
"3446",34,40,0.112319790301441
"3447",34,41,0.0123197903014418
"3448",34,42,0.0123197903014418
"3449",34,43,0.0123197903014418
"3450",34,44,-0.0876802096985578
"3451",34,45,0.0123197903014418
"3452",34,46,0.0123197903014418
"3453",34,47,0.0123197903014418
"3454",34,48,-0.0876802096985578
"3455",34,49,-0.287680209698557
"3456",34,50,-0.0876802096985578
"3457",34,51,0.0123197903014418
"3458",34,52,-0.0876802096985578
"3459",34,53,0.0123197903014418
"3460",34,54,0.0123197903014418
"3461",34,55,-0.0876802096985578
"3462",34,56,-0.0876802096985578
"3463",34,57,-0.0876802096985578
"3464",34,58,-0.0876802096985578
"3465",34,59,0.0123197903014418
"3466",34,60,0.0123197903014418
"3467",34,61,0.0123197903014418
"3468",34,62,0.112319790301441
"3469",34,63,0.0123197903014418
"3470",34,64,0.0123197903014418
"3471",34,65,-0.0876802096985578
"3472",34,66,-0.287680209698557
"3473",34,67,-0.387680209698559
"3476",34,70,-0.387680209698559
"3477",34,71,-0.387680209698559
"3478",34,72,-0.187680209698557
"3479",34,73,-0.187680209698557
"3480",34,74,-0.187680209698557
"3481",34,75,-0.0876802096985578
"3482",34,76,0.0123197903014418
"3483",34,77,0.0123197903014418
"3484",34,78,0.112319790301441
"3485",34,79,-0.0876802096985578
"3486",34,80,-0.0876802096985578
"3487",34,81,-0.287680209698557
"3488",34,82,-0.287680209698557
"3489",34,83,-0.487680209698558
"3490",34,84,-0.587680209698558
"3491",34,85,-0.687680209698557
"3492",34,86,-0.887680209698559
"3515",35,8,-0.287680209698557
"3516",35,9,-0.187680209698557
"3517",35,10,0.0123197903014418
"3518",35,11,0.112319790301441
"3519",35,12,0.312319790301443
"3520",35,13,0.312319790301443
"3521",35,14,0.412319790301442
"3522",35,15,0.512319790301442
"3523",35,16,0.412319790301442
"3524",35,17,0.412319790301442
"3525",35,18,0.512319790301442
"3526",35,19,0.712319790301443
"3527",35,20,0.712319790301443
"3528",35,21,0.812319790301443
"3529",35,22,0.612319790301441
"3530",35,23,0.712319790301443
"3531",35,24,0.812319790301443
"3532",35,25,0.712319790301443
"3533",35,26,0.812319790301443
"3534",35,27,0.812319790301443
"3535",35,28,0.812319790301443
"3536",35,29,0.712319790301443
"3537",35,30,0.612319790301441
"3538",35,31,0.512319790301442
"3539",35,32,0.512319790301442
"3540",35,33,0.512319790301442
"3541",35,34,0.512319790301442
"3542",35,35,0.312319790301443
"3543",35,36,0.412319790301442
"3544",35,37,0.312319790301443
"3545",35,38,0.312319790301443
"3546",35,39,0.312319790301443
"3547",35,40,0.212319790301443
"3548",35,41,0.112319790301441
"3549",35,42,0.112319790301441
"3550",35,43,0.0123197903014418
"3551",35,44,0.112319790301441
"3552",35,45,0.112319790301441
"3553",35,46,0.112319790301441
"3554",35,47,0.112319790301441
"3555",35,48,0.0123197903014418
"3556",35,49,-0.0876802096985578
"3557",35,50,0.0123197903014418
"3558",35,51,0.112319790301441
"3559",35,52,-0.0876802096985578
"3560",35,53,0.0123197903014418
"3561",35,54,0.112319790301441
"3562",35,55,0.112319790301441
"3563",35,56,0.0123197903014418
"3564",35,57,-0.0876802096985578
"3565",35,58,0.0123197903014418
"3566",35,59,-0.0876802096985578
"3567",35,60,0.0123197903014418
"3568",35,61,0.0123197903014418
"3569",35,62,0.112319790301441
"3570",35,63,0.0123197903014418
"3571",35,64,0.0123197903014418
"3572",35,65,-0.0876802096985578
"3573",35,66,-0.187680209698557
"3574",35,67,-0.487680209698558
"3575",35,68,-0.487680209698558
"3577",35,70,-0.587680209698558
"3578",35,71,-0.587680209698558
"3580",35,73,-0.487680209698558
"3581",35,74,-0.387680209698559
"3582",35,75,-0.487680209698558
"3583",35,76,-0.487680209698558
"3584",35,77,-0.387680209698559
"3585",35,78,-0.287680209698557
"3586",35,79,-0.487680209698558
"3587",35,80,-0.487680209698558
"3588",35,81,-0.587680209698558
"3589",35,82,-0.787680209698557
"3590",35,83,-0.787680209698557
"3591",35,84,-0.787680209698557
"3592",35,85,-0.887680209698559
"3593",35,86,-0.987680209698558
"3616",36,8,-0.387680209698559
"3617",36,9,-0.187680209698557
"3618",36,10,0.0123197903014418
"3619",36,11,0.212319790301443
"3620",36,12,0.412319790301442
"3621",36,13,0.412319790301442
"3622",36,14,0.512319790301442
"3623",36,15,0.612319790301441
"3624",36,16,0.512319790301442
"3625",36,17,0.612319790301441
"3626",36,18,0.712319790301443
"3627",36,19,0.712319790301443
"3628",36,20,0.812319790301443
"3629",36,21,0.912319790301442
"3630",36,22,0.912319790301442
"3631",36,23,0.812319790301443
"3632",36,24,0.912319790301442
"3633",36,25,0.912319790301442
"3634",36,26,0.912319790301442
"3635",36,27,0.812319790301443
"3636",36,28,0.812319790301443
"3637",36,29,0.812319790301443
"3638",36,30,0.712319790301443
"3639",36,31,0.612319790301441
"3640",36,32,0.612319790301441
"3641",36,33,0.612319790301441
"3642",36,34,0.512319790301442
"3643",36,35,0.412319790301442
"3644",36,36,0.412319790301442
"3645",36,37,0.512319790301442
"3646",36,38,0.412319790301442
"3647",36,39,0.312319790301443
"3648",36,40,0.212319790301443
"3649",36,41,0.212319790301443
"3650",36,42,0.112319790301441
"3651",36,43,0.0123197903014418
"3652",36,44,0.0123197903014418
"3653",36,45,0.112319790301441
"3654",36,46,0.112319790301441
"3655",36,47,0.112319790301441
"3656",36,48,0.112319790301441
"3657",36,49,0.112319790301441
"3658",36,50,0.112319790301441
"3659",36,51,0.0123197903014418
"3660",36,52,0.212319790301443
"3661",36,53,0.212319790301443
"3662",36,54,0.312319790301443
"3663",36,55,0.212319790301443
"3664",36,56,0.0123197903014418
"3665",36,57,0.112319790301441
"3666",36,58,0.0123197903014418
"3667",36,59,0.0123197903014418
"3668",36,60,0.112319790301441
"3669",36,61,0.0123197903014418
"3670",36,62,0.0123197903014418
"3671",36,63,0.112319790301441
"3672",36,64,-0.0876802096985578
"3673",36,65,-0.0876802096985578
"3674",36,66,-0.187680209698557
"3675",36,67,-0.487680209698558
"3682",36,74,-0.787680209698557
"3683",36,75,-0.787680209698557
"3684",36,76,-0.687680209698557
"3685",36,77,-0.687680209698557
"3686",36,78,-0.587680209698558
"3687",36,79,-0.687680209698557
"3688",36,80,-0.887680209698559
"3689",36,81,-1.08768020969856
"3690",36,82,-1.18768020969856
"3691",36,83,-1.08768020969856
"3692",36,84,-1.08768020969856
"3693",36,85,-0.987680209698558
"3694",36,86,-1.08768020969856
"3716",37,8,-0.387680209698559
"3717",37,9,-0.187680209698557
"3718",37,10,0.0123197903014418
"3719",37,11,0.312319790301443
"3720",37,12,0.512319790301442
"3721",37,13,0.612319790301441
"3722",37,14,0.612319790301441
"3723",37,15,0.712319790301443
"3724",37,16,0.812319790301443
"3725",37,17,0.712319790301443
"3726",37,18,0.712319790301443
"3727",37,19,0.812319790301443
"3728",37,20,0.912319790301442
"3729",37,21,1.01231979030144
"3730",37,22,1.01231979030144
"3731",37,23,1.01231979030144
"3732",37,24,1.11231979030144
"3733",37,25,1.01231979030144
"3734",37,26,0.912319790301442
"3735",37,27,0.912319790301442
"3736",37,28,0.912319790301442
"3737",37,29,0.812319790301443
"3738",37,30,0.812319790301443
"3739",37,31,0.712319790301443
"3740",37,32,0.612319790301441
"3741",37,33,0.512319790301442
"3742",37,34,0.612319790301441
"3743",37,35,0.512319790301442
"3744",37,36,0.412319790301442
"3745",37,37,0.512319790301442
"3746",37,38,0.412319790301442
"3747",37,39,0.412319790301442
"3748",37,40,0.212319790301443
"3749",37,41,0.212319790301443
"3750",37,42,0.312319790301443
"3751",37,43,0.112319790301441
"3752",37,44,0.112319790301441
"3753",37,45,0.112319790301441
"3754",37,46,0.112319790301441
"3755",37,47,0.212319790301443
"3756",37,48,0.112319790301441
"3757",37,49,0.312319790301443
"3758",37,50,0.112319790301441
"3759",37,51,0.112319790301441
"3760",37,52,0.412319790301442
"3761",37,53,0.412319790301442
"3762",37,54,0.312319790301443
"3763",37,55,0.312319790301443
"3764",37,56,0.112319790301441
"3765",37,57,0.112319790301441
"3766",37,58,0.0123197903014418
"3767",37,59,0.112319790301441
"3768",37,60,0.0123197903014418
"3769",37,61,0.0123197903014418
"3770",37,62,0.0123197903014418
"3771",37,63,0.0123197903014418
"3772",37,64,-0.0876802096985578
"3773",37,65,-0.287680209698557
"3774",37,66,-0.387680209698559
"3784",37,76,-0.887680209698559
"3785",37,77,-0.887680209698559
"3786",37,78,-0.987680209698558
"3787",37,79,-1.08768020969856
"3788",37,80,-1.08768020969856
"3789",37,81,-1.38768020969856
"3790",37,82,-1.48768020969856
"3791",37,83,-1.38768020969856
"3792",37,84,-1.28768020969856
"3793",37,85,-1.18768020969856
"3816",38,8,-0.287680209698557
"3817",38,9,-0.187680209698557
"3818",38,10,0.112319790301441
"3819",38,11,0.412319790301442
"3820",38,12,0.512319790301442
"3821",38,13,0.612319790301441
"3822",38,14,0.812319790301443
"3823",38,15,0.812319790301443
"3824",38,16,0.812319790301443
"3825",38,17,0.812319790301443
"3826",38,18,0.812319790301443
"3827",38,19,0.912319790301442
"3828",38,20,1.11231979030144
"3829",38,21,1.11231979030144
"3830",38,22,1.21231979030144
"3831",38,23,1.21231979030144
"3832",38,24,1.11231979030144
"3833",38,25,1.11231979030144
"3834",38,26,1.01231979030144
"3835",38,27,0.912319790301442
"3836",38,28,1.01231979030144
"3837",38,29,0.912319790301442
"3838",38,30,0.812319790301443
"3839",38,31,0.712319790301443
"3840",38,32,0.612319790301441
"3841",38,33,0.512319790301442
"3842",38,34,0.512319790301442
"3843",38,35,0.512319790301442
"3844",38,36,0.512319790301442
"3845",38,37,0.512319790301442
"3846",38,38,0.412319790301442
"3847",38,39,0.312319790301443
"3848",38,40,0.312319790301443
"3849",38,41,0.312319790301443
"3850",38,42,0.312319790301443
"3851",38,43,0.212319790301443
"3852",38,44,0.212319790301443
"3853",38,45,0.212319790301443
"3854",38,46,0.212319790301443
"3855",38,47,0.212319790301443
"3856",38,48,0.212319790301443
"3857",38,49,0.312319790301443
"3858",38,50,0.412319790301442
"3859",38,51,0.312319790301443
"3860",38,52,0.412319790301442
"3861",38,53,0.412319790301442
"3862",38,54,0.512319790301442
"3863",38,55,0.312319790301443
"3864",38,56,0.112319790301441
"3865",38,57,0.112319790301441
"3866",38,58,0.0123197903014418
"3867",38,59,-0.0876802096985578
"3868",38,60,-0.0876802096985578
"3869",38,61,-0.0876802096985578
"3870",38,62,-0.187680209698557
"3871",38,63,-0.187680209698557
"3872",38,64,-0.287680209698557
"3873",38,65,-0.487680209698558
"3874",38,66,-0.587680209698558
"3885",38,77,-1.08768020969856
"3886",38,78,-1.08768020969856
"3887",38,79,-1.18768020969856
"3888",38,80,-1.28768020969856
"3889",38,81,-1.38768020969856
"3890",38,82,-1.68768020969856
"3891",38,83,-1.48768020969856
"3892",38,84,-1.28768020969856
"3893",38,85,-1.28768020969856
"3894",38,86,-1.38768020969856
"3916",39,8,-0.287680209698557
"3917",39,9,-0.0876802096985578
"3918",39,10,0.212319790301443
"3919",39,11,0.512319790301442
"3920",39,12,0.712319790301443
"3921",39,13,0.812319790301443
"3922",39,14,0.912319790301442
"3923",39,15,0.912319790301442
"3924",39,16,0.912319790301442
"3925",39,17,0.912319790301442
"3926",39,18,0.912319790301442
"3927",39,19,1.01231979030144
"3928",39,20,1.21231979030144
"3929",39,21,1.31231979030144
"3930",39,22,1.31231979030144
"3931",39,23,1.31231979030144
"3932",39,24,1.21231979030144
"3933",39,25,1.21231979030144
"3934",39,26,1.11231979030144
"3935",39,27,1.11231979030144
"3936",39,28,1.11231979030144
"3937",39,29,1.11231979030144
"3938",39,30,0.912319790301442
"3939",39,31,0.812319790301443
"3940",39,32,0.612319790301441
"3941",39,33,0.512319790301442
"3942",39,34,0.412319790301442
"3943",39,35,0.612319790301441
"3944",39,36,0.512319790301442
"3945",39,37,0.512319790301442
"3946",39,38,0.512319790301442
"3947",39,39,0.512319790301442
"3948",39,40,0.512319790301442
"3949",39,41,0.512319790301442
"3950",39,42,0.412319790301442
"3951",39,43,0.312319790301443
"3952",39,44,0.212319790301443
"3953",39,45,0.212319790301443
"3954",39,46,0.212319790301443
"3955",39,47,0.212319790301443
"3956",39,48,0.312319790301443
"3957",39,49,0.312319790301443
"3958",39,50,0.312319790301443
"3959",39,51,0.312319790301443
"3960",39,52,0.312319790301443
"3961",39,53,0.312319790301443
"3962",39,54,0.412319790301442
"3963",39,55,0.112319790301441
"3964",39,56,0.0123197903014418
"3965",39,57,-0.0876802096985578
"3966",39,58,-0.0876802096985578
"3967",39,59,-0.187680209698557
"3968",39,60,-0.287680209698557
"3969",39,61,-0.0876802096985578
"3970",39,62,-0.187680209698557
"3971",39,63,-0.287680209698557
"3972",39,64,-0.587680209698558
"3973",39,65,-0.787680209698557
"3988",39,80,-1.18768020969856
"3989",39,81,-1.28768020969856
"3990",39,82,-1.48768020969856
"3991",39,83,-1.48768020969856
"3992",39,84,-1.58768020969856
"3993",39,85,-1.48768020969856
"3994",39,86,-1.68768020969856
"4017",40,9,0.0123197903014418
"4018",40,10,0.212319790301443
"4019",40,11,0.612319790301441
"4020",40,12,0.812319790301443
"4021",40,13,0.912319790301442
"4022",40,14,1.01231979030144
"4023",40,15,0.912319790301442
"4024",40,16,1.01231979030144
"4025",40,17,0.912319790301442
"4026",40,18,1.01231979030144
"4027",40,19,1.01231979030144
"4028",40,20,1.21231979030144
"4029",40,21,1.31231979030144
"4030",40,22,1.41231979030144
"4031",40,23,1.21231979030144
"4032",40,24,1.31231979030144
"4033",40,25,1.21231979030144
"4034",40,26,1.11231979030144
"4035",40,27,1.31231979030144
"4036",40,28,1.11231979030144
"4037",40,29,1.01231979030144
"4038",40,30,1.01231979030144
"4039",40,31,0.812319790301443
"4040",40,32,0.712319790301443
"4041",40,33,0.612319790301441
"4042",40,34,0.612319790301441
"4043",40,35,0.512319790301442
"4044",40,36,0.612319790301441
"4045",40,37,0.512319790301442
"4046",40,38,0.612319790301441
"4047",40,39,0.612319790301441
"4048",40,40,0.712319790301443
"4049",40,41,0.612319790301441
"4050",40,42,0.512319790301442
"4051",40,43,0.412319790301442
"4052",40,44,0.312319790301443
"4053",40,45,0.312319790301443
"4054",40,46,0.312319790301443
"4055",40,47,0.412319790301442
"4056",40,48,0.312319790301443
"4057",40,49,0.312319790301443
"4058",40,50,0.412319790301442
"4059",40,51,0.312319790301443
"4060",40,52,0.312319790301443
"4061",40,53,0.212319790301443
"4062",40,54,0.312319790301443
"4063",40,55,0.112319790301441
"4064",40,56,0.0123197903014418
