"","rep","temperature","species","times","abundance","pH"
"1","R1",6,"S1",1,1.4417524429658,5.6
"2","R2",6,"S1",1,4.56081845432464,5.6
"3","R3",6,"S1",1,7.11620791966711,5.6
"4","R1",8,"S1",1,7.1856664463231,5.8
"5","R2",8,"S1",1,22.2255768733563,5.8
"6","R3",8,"S1",1,16.8473465475226,5.8
"7","R1",10,"S1",1,91.1600480814973,6
"8","R2",10,"S1",1,9.11949762622468,6
"9","R3",10,"S1",1,17.2886909533652,6
"10","R1",12,"S1",1,127.942149692358,6.2
"11","R2",12,"S1",1,79.4377441943874,6.2
"12","R3",12,"S1",1,3.80332837557483,6.2
"13","R1",14,"S1",1,53.0131460501503,6.4
"14","R2",14,"S1",1,63.0124200013806,6.4
"15","R3",14,"S1",1,16.4786565235293,6.4
"16","R1",16,"S1",1,27.4538724917651,6.6
"17","R2",16,"S1",1,142.033334496754,6.6
"18","R3",16,"S1",1,9.65778412608001,6.6
"19","R1",18,"S1",1,31.5774293177419,6.8
"20","R2",18,"S1",1,14.8227625644201,6.8
"21","R3",18,"S1",1,4.91047914278536,6.8
"22","R1",20,"S1",1,23.882801115529,7
"23","R2",20,"S1",1,13.463162061349,7
"24","R3",20,"S1",1,24.9332188087357,7
"25","R1",22,"S1",1,19.2745375681514,7.2
"26","R2",22,"S1",1,35.3890903486198,7.2
"27","R3",22,"S1",1,48.9026630851756,7.2
"28","R1",24,"S1",1,39.2891129451399,7.4
"29","R2",24,"S1",1,6.16241658298829,7.4
"30","R3",24,"S1",1,17.2462674328117,7.4
"31","R1",26,"S1",1,138.330162679544,7.6
"32","R2",26,"S1",1,23.2031058915522,7.6
"33","R3",26,"S1",1,37.6886360863832,7.6
"34","R1",6,"S2",1,6.96676985340088,5.6
"35","R2",6,"S2",1,16.9002376549907,5.6
"36","R3",6,"S2",1,5.80382320300467,5.6
"37","R1",8,"S2",1,27.3698657079683,5.8
"38","R2",8,"S2",1,45.7932966980765,5.8
"39","R3",8,"S2",1,7.61969436390669,5.8
"40","R1",10,"S2",1,28.601713159758,6
"41","R2",10,"S2",1,8.6051168633828,6
"42","R3",10,"S2",1,13.6872064878371,6
"43","R1",12,"S2",1,60.6356945984694,6.2
"44","R2",12,"S2",1,32.1052419391056,6.2
"45","R3",12,"S2",1,284.829722971658,6.2
"46","R1",14,"S2",1,15.2741887207583,6.4
"47","R2",14,"S2",1,48.4360990419732,6.4
"48","R3",14,"S2",1,14.6044710169619,6.4
"49","R1",16,"S2",1,122.983729094784,6.6
"50","R2",16,"S2",1,161.935776979067,6.6
"51","R3",16,"S2",1,319.986484223529,6.6
"52","R1",18,"S2",1,336.299911495163,6.8
"53","R2",18,"S2",1,20.1255329678285,6.8
"54","R3",18,"S2",1,14.7681623429473,6.8
"55","R1",20,"S2",1,114.536499619719,7
"56","R2",20,"S2",1,607.597934241155,7
"57","R3",20,"S2",1,286.982899621221,7
"58","R1",22,"S2",1,585.626007359097,7.2
"59","R2",22,"S2",1,48.1370930542987,7.2
"60","R3",22,"S2",1,270.213470111308,7.2
"61","R1",24,"S2",1,205.358963456267,7.4
"62","R2",24,"S2",1,459.959095617187,7.4
"63","R3",24,"S2",1,19.5429723866606,7.4
"64","R1",26,"S2",1,43.6880635334855,7.6
"65","R2",26,"S2",1,255.658593565931,7.6
"66","R3",26,"S2",1,231.091109097148,7.6
"67","R1",6,"S3",1,58.964685043859,5.6
"68","R2",6,"S3",1,489.536383632959,5.6
"69","R3",6,"S3",1,1478.68276982856,5.6
"70","R1",8,"S3",1,754.559179613566,5.8
"71","R2",8,"S3",1,405.915298646634,5.8
"72","R3",8,"S3",1,1228.43878969665,5.8
"73","R1",10,"S3",1,2990.30290285187,6
"74","R2",10,"S3",1,18741.6758938631,6
"75","R3",10,"S3",1,2122.26591663501,6
"76","R1",12,"S3",1,9707.18295924534,6.2
"77","R2",12,"S3",1,14002.2647942216,6.2
"78","R3",12,"S3",1,9178.58355120442,6.2
"79","R1",14,"S3",1,24288.9649727702,6.4
"80","R2",14,"S3",1,63174.1176566726,6.4
"81","R3",14,"S3",1,45511.9511810834,6.4
"82","R1",16,"S3",1,147043.603970468,6.6
"83","R2",16,"S3",1,387231.581443363,6.6
"84","R3",16,"S3",1,304493.159306644,6.6
"85","R1",18,"S3",1,1078089.54021915,6.8
"86","R2",18,"S3",1,1169460.52372293,6.8
"87","R3",18,"S3",1,1024188.24135118,6.8
"88","R1",20,"S3",1,1506674.55660919,7
"89","R2",20,"S3",1,3904971.49815126,7
"90","R3",20,"S3",1,3151546.50665118,7
"91","R1",22,"S3",1,35453680.4434594,7.2
"92","R2",22,"S3",1,1613656.08412856,7.2
"93","R3",22,"S3",1,16683753.5349772,7.2
"94","R1",24,"S3",1,137428268.165683,7.4
"95","R2",24,"S3",1,88547915.4396184,7.4
"96","R3",24,"S3",1,275796044.138632,7.4
"97","R1",26,"S3",1,721721507.776286,7.6
"98","R2",26,"S3",1,291073491.082333,7.6
"99","R3",26,"S3",1,42465680.9671757,7.6
"100","R1",6,"S1",2,8.29159417740726,5.6
"101","R2",6,"S1",2,17.1169443191282,5.6
"102","R3",6,"S1",2,18.1492519351618,5.6
"103","R1",8,"S1",2,11.5230531569834,5.8
"104","R2",8,"S1",2,11.0983770089001,5.8
"105","R3",8,"S1",2,113.295687711611,5.8
"106","R1",10,"S1",2,15.3864904720864,6
"107","R2",10,"S1",2,17.7078556340067,6
"108","R3",10,"S1",2,6.90941997762837,6
"109","R1",12,"S1",2,17.4971069320653,6.2
"110","R2",12,"S1",2,9.92365339346949,6.2
"111","R3",12,"S1",2,3.92075232227548,6.2
"112","R1",14,"S1",2,6.06226914596304,6.4
"113","R2",14,"S1",2,23.4932456892291,6.4
"114","R3",14,"S1",2,4.5857997289511,6.4
"115","R1",16,"S1",2,8.57052155110992,6.6
"116","R2",16,"S1",2,37.0399422802977,6.6
"117","R3",16,"S1",2,51.9928128249129,6.6
"118","R1",18,"S1",2,19.3313117030538,6.8
"119","R2",18,"S1",2,11.7061275772042,6.8
"120","R3",18,"S1",2,45.8357977539221,6.8
"121","R1",20,"S1",2,4.85648828115557,7
"122","R2",20,"S1",2,64.5676090620926,7
"123","R3",20,"S1",2,17.5772303463412,7
"124","R1",22,"S1",2,8.78245245548137,7.2
"125","R2",22,"S1",2,45.2504226648529,7.2
"126","R3",22,"S1",2,21.5693289564123,7.2
"127","R1",24,"S1",2,79.5867259567333,7.4
"128","R2",24,"S1",2,191.377120426056,7.4
"129","R3",24,"S1",2,103.221535919137,7.4
"130","R1",26,"S1",2,55.0694835763811,7.6
"131","R2",26,"S1",2,117.900538248783,7.6
"132","R3",26,"S1",2,9.4117045261851,7.6
"133","R1",6,"S2",2,23.4198877248776,5.6
"134","R2",6,"S2",2,28.733182142021,5.6
"135","R3",6,"S2",2,5.35990797521794,5.6
"136","R1",8,"S2",2,34.2643576682739,5.8
"137","R2",8,"S2",2,29.2116733507695,5.8
"138","R3",8,"S2",2,19.582373966672,5.8
"139","R1",10,"S2",2,4.24096349729388,6
"140","R2",10,"S2",2,37.0745064773495,6
"141","R3",10,"S2",2,15.356193371919,6
"142","R1",12,"S2",2,92.6941868416021,6.2
"143","R2",12,"S2",2,158.321162435956,6.2
"144","R3",12,"S2",2,97.8819606620229,6.2
"145","R1",14,"S2",2,31.3797585191493,6.4
"146","R2",14,"S2",2,65.3178626086005,6.4
"147","R3",14,"S2",2,156.805270084114,6.4
"148","R1",16,"S2",2,27.5794933513152,6.6
"149","R2",16,"S2",2,94.5332317643298,6.6
"150","R3",16,"S2",2,62.3498194284903,6.6
"151","R1",18,"S2",2,26.0295780438134,6.8
"152","R2",18,"S2",2,68.0498356514942,6.8
"153","R3",18,"S2",2,207.149418041401,6.8
"154","R1",20,"S2",2,477.592416729246,7
"155","R2",20,"S2",2,39.0085356042758,7
"156","R3",20,"S2",2,167.446534000684,7
"157","R1",22,"S2",2,184.500263399051,7.2
"158","R2",22,"S2",2,82.347250081716,7.2
"159","R3",22,"S2",2,658.33091968547,7.2
"160","R1",24,"S2",2,107.031632400678,7.4
"161","R2",24,"S2",2,349.818092807436,7.4
"162","R3",24,"S2",2,437.88121581059,7.4
"163","R1",26,"S2",2,3477.03435077385,7.6
"164","R2",26,"S2",2,1333.15114713816,7.6
"165","R3",26,"S2",2,680.172326864039,7.6
"166","R1",6,"S3",2,923.025317163985,5.6
"167","R2",6,"S3",2,686.191578841306,5.6
"168","R3",6,"S3",2,83.8398122145885,5.6
"169","R1",8,"S3",2,1590.91959995816,5.8
"170","R2",8,"S3",2,1080.23075039823,5.8
"171","R3",8,"S3",2,2645.16375474729,5.8
"172","R1",10,"S3",2,828.19538015998,6
"173","R2",10,"S3",2,13224.9736463911,6
"174","R3",10,"S3",2,2538.30994463862,6
"175","R1",12,"S3",2,24470.5632386584,6.2
"176","R2",12,"S3",2,10590.5534021134,6.2
"177","R3",12,"S3",2,8087.91413899371,6.2
"178","R1",14,"S3",2,41474.8327992701,6.4
"179","R2",14,"S3",2,28822.9089869431,6.4
"180","R3",14,"S3",2,295648.62742191,6.4
"181","R1",16,"S3",2,505842.946947022,6.6
"182","R2",16,"S3",2,262410.2183308,6.6
"183","R3",16,"S3",2,101773.302335165,6.6
"184","R1",18,"S3",2,2999725.42322023,6.8
"185","R2",18,"S3",2,1137980.85028336,6.8
"186","R3",18,"S3",2,1991986.48724932,6.8
"187","R1",20,"S3",2,3271943.12578823,7
"188","R2",20,"S3",2,7121056.93520008,7
"189","R3",20,"S3",2,7143826.00802274,7
"190","R1",22,"S3",2,45823365.8013798,7.2
"191","R2",22,"S3",2,9641759.52085212,7.2
"192","R3",22,"S3",2,16810084.7188899,7.2
"193","R1",24,"S3",2,134378705.181228,7.4
"194","R2",24,"S3",2,39490035.186269,7.4
"195","R3",24,"S3",2,49939147.5156564,7.4
"196","R1",26,"S3",2,33970712.8039298,7.6
"197","R2",26,"S3",2,272162049.790487,7.6
"198","R3",26,"S3",2,79465264.4471915,7.6
"199","R1",6,"S1",3,7.36121275958958,5.6
"200","R2",6,"S1",3,7.96463247935326,5.6
"201","R3",6,"S1",3,5.89555822221308,5.6
"202","R1",8,"S1",3,2.68319926458147,5.8
"203","R2",8,"S1",3,26.7639102900224,5.8
"204","R3",8,"S1",3,7.39086096654851,5.8
"205","R1",10,"S1",3,19.0702631171058,6
"206","R2",10,"S1",3,10.7147613267902,6
"207","R3",10,"S1",3,5.6511938633438,6
"208","R1",12,"S1",3,10.0845020319665,6.2
"209","R2",12,"S1",3,44.8201386157912,6.2
"210","R3",12,"S1",3,12.9006679587729,6.2
"211","R1",14,"S1",3,13.1064819152937,6.4
"212","R2",14,"S1",3,4.52826263604659,6.4
"213","R3",14,"S1",3,49.2148077907886,6.4
"214","R1",16,"S1",3,28.3542596481558,6.6
"215","R2",16,"S1",3,16.3159472417117,6.6
"216","R3",16,"S1",3,35.3547579146459,6.6
"217","R1",18,"S1",3,23.7725908004698,6.8
"218","R2",18,"S1",3,10.2637099869108,6.8
"219","R3",18,"S1",3,8.54095231725909,6.8
"220","R1",20,"S1",3,1.76232339818376,7
"221","R2",20,"S1",3,47.3447105209052,7
"222","R3",20,"S1",3,24.8014362958699,7
"223","R1",22,"S1",3,27.7104683920026,7.2
"224","R2",22,"S1",3,67.5027674824791,7.2
"225","R3",22,"S1",3,160.726295028886,7.2
"226","R1",24,"S1",3,11.1020505416066,7.4
"227","R2",24,"S1",3,24.8806585785469,7.4
"228","R3",24,"S1",3,39.2410358568918,7.4
"229","R1",26,"S1",3,53.4864728239345,7.6
"230","R2",26,"S1",3,20.9225562098428,7.6
"231","R3",26,"S1",3,51.1397554266259,7.6
"232","R1",6,"S2",3,4.29226065145444,5.6
"233","R2",6,"S2",3,16.2696468613967,5.6
"234","R3",6,"S2",3,6.51653829040724,5.6
"235","R1",8,"S2",3,4.58803940011578,5.8
"236","R2",8,"S2",3,15.7786717486259,5.8
"237","R3",8,"S2",3,6.8390023661172,5.8
"238","R1",10,"S2",3,3.59429246726792,6
"239","R2",10,"S2",3,52.5660034296527,6
"240","R3",10,"S2",3,24.5540683221216,6
"241","R1",12,"S2",3,36.0835919102792,6.2
"242","R2",12,"S2",3,72.6718749997055,6.2
"243","R3",12,"S2",3,14.671377185575,6.2
"244","R1",14,"S2",3,35.3970174429581,6.4
"245","R2",14,"S2",3,56.8961929353008,6.4
"246","R3",14,"S2",3,25.2686861198565,6.4
"247","R1",16,"S2",3,175.852802454331,6.6
"248","R2",16,"S2",3,84.9569815491903,6.6
"249","R3",16,"S2",3,96.6086894043264,6.6
"250","R1",18,"S2",3,48.3558997490453,6.8
"251","R2",18,"S2",3,337.345434674041,6.8
"252","R3",18,"S2",3,581.767604818057,6.8
"253","R1",20,"S2",3,317.394705346902,7
"254","R2",20,"S2",3,52.9344523556754,7
"255","R3",20,"S2",3,172.084254095297,7
"256","R1",22,"S2",3,692.710414829119,7.2
"257","R2",22,"S2",3,380.086517546985,7.2
"258","R3",22,"S2",3,79.0044618297393,7.2
"259","R1",24,"S2",3,261.98271346738,7.4
"260","R2",24,"S2",3,104.955519258212,7.4
"261","R3",24,"S2",3,648.394245023995,7.4
"262","R1",26,"S2",3,1297.07729110465,7.6
"263","R2",26,"S2",3,127.833143396886,7.6
"264","R3",26,"S2",3,349.676057824059,7.6
"265","R1",6,"S3",3,82.7497671796633,5.6
"266","R2",6,"S3",3,151.952022098042,5.6
"267","R3",6,"S3",3,385.510104648501,5.6
"268","R1",8,"S3",3,478.042897183971,5.8
"269","R2",8,"S3",3,588.475874742915,5.8
"270","R3",8,"S3",3,4423.84845474854,5.8
"271","R1",10,"S3",3,4933.57215673786,6
"272","R2",10,"S3",3,4929.11613994884,6
"273","R3",10,"S3",3,2795.48969743981,6
"274","R1",12,"S3",3,9013.83827492863,6.2
"275","R2",12,"S3",3,18916.2393497911,6.2
"276","R3",12,"S3",3,64662.3563452933,6.2
"277","R1",14,"S3",3,147666.414893256,6.4
"278","R2",14,"S3",3,96290.4519803635,6.4
"279","R3",14,"S3",3,10284.3104076494,6.4
"280","R1",16,"S3",3,1709715.97765704,6.6
"281","R2",16,"S3",3,218577.125857855,6.6
"282","R3",16,"S3",3,76524.852070247,6.6
"283","R1",18,"S3",3,288415.51948236,6.8
"284","R2",18,"S3",3,2632294.79029833,6.8
"285","R3",18,"S3",3,795760.418259034,6.8
"286","R1",20,"S3",3,690903.378546,7
"287","R2",20,"S3",3,1167736.55699293,7
"288","R3",20,"S3",3,9864787.50457571,7
"289","R1",22,"S3",3,4613424.47056178,7.2
"290","R2",22,"S3",3,6008871.40083133,7.2
"291","R3",22,"S3",3,2805060.48799523,7.2
"292","R1",24,"S3",3,16761006.3240733,7.4
"293","R2",24,"S3",3,5594038.17254779,7.4
"294","R3",24,"S3",3,94176943.2741737,7.4
"295","R1",26,"S3",3,90713826.6624212,7.6
"296","R2",26,"S3",3,285952979.791841,7.6
"297","R3",26,"S3",3,91088430.678981,7.6
"298","R1",6,"S1",4,3.18859605386205,5.6
"299","R2",6,"S1",4,2.25645617806433,5.6
"300","R3",6,"S1",4,12.0029631945146,5.6
"301","R1",8,"S1",4,8.01075836348759,5.8
"302","R2",8,"S1",4,4.27409664234876,5.8
"303","R3",8,"S1",4,5.58337139964182,5.8
"304","R1",10,"S1",4,7.52024935464435,6
"305","R2",10,"S1",4,11.5759536301265,6
"306","R3",10,"S1",4,13.2663221265646,6
"307","R1",12,"S1",4,2.80570336903977,6.2
"308","R2",12,"S1",4,7.0738861521101,6.2
"309","R3",12,"S1",4,7.81569393617905,6.2
"310","R1",14,"S1",4,26.6733484883344,6.4
"311","R2",14,"S1",4,9.04448686212787,6.4
"312","R3",14,"S1",4,10.9556205502415,6.4
"313","R1",16,"S1",4,12.0353363768997,6.6
"314","R2",16,"S1",4,9.21569736630672,6.6
"315","R3",16,"S1",4,111.894147504307,6.6
"316","R1",18,"S1",4,14.3479048675218,6.8
"317","R2",18,"S1",4,49.4299370224177,6.8
"318","R3",18,"S1",4,13.2304268102993,6.8
"319","R1",20,"S1",4,94.8066440819752,7
"320","R2",20,"S1",4,32.3023807877683,7
"321","R3",20,"S1",4,241.945321418242,7
"322","R1",22,"S1",4,12.8523163237165,7.2
"323","R2",22,"S1",4,28.5048640464707,7.2
"324","R3",22,"S1",4,80.3215294531501,7.2
"325","R1",24,"S1",4,9.32865116600185,7.4
"326","R2",24,"S1",4,22.3255583900612,7.4
"327","R3",24,"S1",4,75.5260215809349,7.4
"328","R1",26,"S1",4,14.3258009911666,7.6
"329","R2",26,"S1",4,527.508137387068,7.6
"330","R3",26,"S1",4,32.6889632544484,7.6
"331","R1",6,"S2",4,18.5984629582835,5.6
"332","R2",6,"S2",4,4.87123916244095,5.6
"333","R3",6,"S2",4,4.18236541429548,5.6
"334","R1",8,"S2",4,17.6319683680472,5.8
"335","R2",8,"S2",4,70.7304418499698,5.8
"336","R3",8,"S2",4,20.6032069768522,5.8
"337","R1",10,"S2",4,6.45951853329636,6
"338","R2",10,"S2",4,14.2939950081004,6
"339","R3",10,"S2",4,13.0328014284663,6
"340","R1",12,"S2",4,9.05570526421321,6.2
"341","R2",12,"S2",4,27.6412937075468,6.2
"342","R3",12,"S2",4,35.2616235723623,6.2
"343","R1",14,"S2",4,7.69093076815903,6.4
"344","R2",14,"S2",4,235.164200920642,6.4
"345","R3",14,"S2",4,54.4714576446827,6.4
"346","R1",16,"S2",4,324.846505873829,6.6
"347","R2",16,"S2",4,373.591951693535,6.6
"348","R3",16,"S2",4,125.076610449896,6.6
"349","R1",18,"S2",4,462.598873786237,6.8
"350","R2",18,"S2",4,188.98944292714,6.8
"351","R3",18,"S2",4,87.796411154685,6.8
"352","R1",20,"S2",4,64.1336921993511,7
"353","R2",20,"S2",4,90.4034455539596,7
"354","R3",20,"S2",4,147.666972562261,7
"355","R1",22,"S2",4,352.292255417482,7.2
"356","R2",22,"S2",4,217.458309674144,7.2
"357","R3",22,"S2",4,457.689966224216,7.2
"358","R1",24,"S2",4,307.194858795819,7.4
"359","R2",24,"S2",4,928.907231611901,7.4
"360","R3",24,"S2",4,575.588505567781,7.4
"361","R1",26,"S2",4,3047.94300092295,7.6
"362","R2",26,"S2",4,174.599644388547,7.6
"363","R3",26,"S2",4,1569.86312683464,7.6
"364","R1",6,"S3",4,88.2652938532807,5.6
"365","R2",6,"S3",4,109.864892483474,5.6
"366","R3",6,"S3",4,578.369257334454,5.6
"367","R1",8,"S3",4,2286.34677986537,5.8
"368","R2",8,"S3",4,138.901589858492,5.8
"369","R3",8,"S3",4,776.360894671457,5.8
"370","R1",10,"S3",4,4160.83398261583,6
"371","R2",10,"S3",4,1823.06725835517,6
"372","R3",10,"S3",4,14006.9465205864,6
"373","R1",12,"S3",4,11862.3808619837,6.2
"374","R2",12,"S3",4,56138.0573707145,6.2
"375","R3",12,"S3",4,121163.265640283,6.2
"376","R1",14,"S3",4,52557.5599132979,6.4
"377","R2",14,"S3",4,91346.8760876767,6.4
"378","R3",14,"S3",4,53639.7739455515,6.4
"379","R1",16,"S3",4,245940.272096876,6.6
"380","R2",16,"S3",4,85745.0084026574,6.6
"381","R3",16,"S3",4,88862.2400863742,6.6
"382","R1",18,"S3",4,205442.430450205,6.8
"383","R2",18,"S3",4,1510278.16182781,6.8
"384","R3",18,"S3",4,259123.321445092,6.8
"385","R1",20,"S3",4,1127086.88410403,7
"386","R2",20,"S3",4,6497720.51398266,7
"387","R3",20,"S3",4,6946603.21073585,7
"388","R1",22,"S3",4,8842531.24352208,7.2
"389","R2",22,"S3",4,30500979.0149213,7.2
"390","R3",22,"S3",4,1610628.00910352,7.2
"391","R1",24,"S3",4,25328704.0546985,7.4
"392","R2",24,"S3",4,1903441.89550523,7.4
"393","R3",24,"S3",4,15439599.1379183,7.4
"394","R1",26,"S3",4,888816694.11394,7.6
"395","R2",26,"S3",4,55284211.8592027,7.6
"396","R3",26,"S3",4,16271847.676288,7.6
"397","R1",6,"S1",5,4.66721452900509,5.6
"398","R2",6,"S1",5,27.1391191655404,5.6
"399","R3",6,"S1",5,12.9017644988439,5.6
"400","R1",8,"S1",5,14.2719752326899,5.8
"401","R2",8,"S1",5,11.9664293505625,5.8
"402","R3",8,"S1",5,27.0841733511163,5.8
"403","R1",10,"S1",5,32.7403630505004,6
"404","R2",10,"S1",5,20.5582418560057,6
"405","R3",10,"S1",5,34.9563099120588,6
"406","R1",12,"S1",5,20.4783384072958,6.2
"407","R2",12,"S1",5,3.25894361359417,6.2
"408","R3",12,"S1",5,78.4821130786823,6.2
"409","R1",14,"S1",5,8.89200914393541,6.4
"410","R2",14,"S1",5,36.2820264835081,6.4
"411","R3",14,"S1",5,37.682561800777,6.4
"412","R1",16,"S1",5,15.0510313118698,6.6
"413","R2",16,"S1",5,22.6135564132775,6.6
"414","R3",16,"S1",5,165.162721930871,6.6
"415","R1",18,"S1",5,15.2746825856093,6.8
"416","R2",18,"S1",5,24.3656798845004,6.8
"417","R3",18,"S1",5,87.064906992714,6.8
"418","R1",20,"S1",5,117.864542256089,7
"419","R2",20,"S1",5,16.8531965419935,7
"420","R3",20,"S1",5,7.07036142135415,7
"421","R1",22,"S1",5,9.13350701684059,7.2
"422","R2",22,"S1",5,21.0425989535563,7.2
"423","R3",22,"S1",5,39.2617904839012,7.2
"424","R1",24,"S1",5,85.5728794759533,7.4
"425","R2",24,"S1",5,5.25299079016198,7.4
"426","R3",24,"S1",5,45.9710397772571,7.4
"427","R1",26,"S1",5,71.3061235649545,7.6
"428","R2",26,"S1",5,103.389792886276,7.6
"429","R3",26,"S1",5,13.949792933234,7.6
"430","R1",6,"S2",5,5.5809940925677,5.6
"431","R2",6,"S2",5,24.639484628235,5.6
"432","R3",6,"S2",5,10.3586029253702,5.6
"433","R1",8,"S2",5,30.5639957249818,5.8
"434","R2",8,"S2",5,75.0941689287567,5.8
"435","R3",8,"S2",5,23.9809003719688,5.8
"436","R1",10,"S2",5,24.8177853156634,6
"437","R2",10,"S2",5,3.70625968721791,6
"438","R3",10,"S2",5,44.8497021193252,6
"439","R1",12,"S2",5,41.049825691563,6.2
"440","R2",12,"S2",5,43.2372113183374,6.2
"441","R3",12,"S2",5,38.1388796167798,6.2
"442","R1",14,"S2",5,180.238086479,6.4
"443","R2",14,"S2",5,32.9280230425466,6.4
"444","R3",14,"S2",5,48.968780903064,6.4
"445","R1",16,"S2",5,113.670037553828,6.6
"446","R2",16,"S2",5,43.4361548478995,6.6
"447","R3",16,"S2",5,90.4191805315212,6.6
"448","R1",18,"S2",5,45.8901185394919,6.8
"449","R2",18,"S2",5,185.636001026241,6.8
"450","R3",18,"S2",5,55.1690084005101,6.8
"451","R1",20,"S2",5,468.39432540102,7
"452","R2",20,"S2",5,12.3444970585316,7
"453","R3",20,"S2",5,1544.74443850148,7
"454","R1",22,"S2",5,125.518166576598,7.2
"455","R2",22,"S2",5,115.640850252047,7.2
"456","R3",22,"S2",5,114.692144950764,7.2
"457","R1",24,"S2",5,216.742142863815,7.4
"458","R2",24,"S2",5,145.33288046084,7.4
"459","R3",24,"S2",5,476.502583459743,7.4
"460","R1",26,"S2",5,111.258660550984,7.6
"461","R2",26,"S2",5,52.2121599790113,7.6
"462","R3",26,"S2",5,206.877240958603,7.6
"463","R1",6,"S3",5,342.017443623678,5.6
"464","R2",6,"S3",5,230.415905304954,5.6
"465","R3",6,"S3",5,682.089540328419,5.6
"466","R1",8,"S3",5,3537.02360081206,5.8
"467","R2",8,"S3",5,246.411066993865,5.8
"468","R3",8,"S3",5,1026.11469700401,5.8
"469","R1",10,"S3",5,25818.9416251791,6
"470","R2",10,"S3",5,1364.53736333572,6
"471","R3",10,"S3",5,679.417356990534,6
"472","R1",12,"S3",5,16722.7875885087,6.2
"473","R2",12,"S3",5,27685.5269051036,6.2
"474","R3",12,"S3",5,25155.3766937173,6.2
"475","R1",14,"S3",5,8323.03740534222,6.4
"476","R2",14,"S3",5,66954.1201619505,6.4
"477","R3",14,"S3",5,218363.897940102,6.4
"478","R1",16,"S3",5,457229.180025119,6.6
"479","R2",16,"S3",5,341815.313837115,6.6
"480","R3",16,"S3",5,271302.048521129,6.6
"481","R1",18,"S3",5,987710.429326003,6.8
"482","R2",18,"S3",5,2795742.26923664,6.8
"483","R3",18,"S3",5,1167351.18084717,6.8
"484","R1",20,"S3",5,1670659.45860095,7
"485","R2",20,"S3",5,2116282.45407434,7
"486","R3",20,"S3",5,18898520.2400298,7
"487","R1",22,"S3",5,14864318.3702386,7.2
"488","R2",22,"S3",5,12418942.1256278,7.2
"489","R3",22,"S3",5,5416068.85276245,7.2
"490","R1",24,"S3",5,16364183.422992,7.4
"491","R2",24,"S3",5,43264959.1668551,7.4
"492","R3",24,"S3",5,275437989.65646,7.4
"493","R1",26,"S3",5,104147322.098736,7.6
"494","R2",26,"S3",5,213388479.165657,7.6
"495","R3",26,"S3",5,256492112.810737,7.6
"496","R1",6,"S1",6,13.4513563162312,5.6
