skull.ID,max.breadth,basi.height,basi.length,nasal.height,year
s1,131,138,89,49,-4000
s2,125,131,92,48,-4000
s3,131,132,99,50,-4000
s4,119,132,96,44,-4000
s5,136,143,100,54,-4000
s6,138,137,89,56,-4000
s7,139,130,108,48,-4000
s8,125,136,93,48,-4000
s9,131,134,102,51,-4000
s10,134,134,99,51,-4000
s11,129,138,95,50,-4000
s12,134,121,95,53,-4000
s13,126,129,109,51,-4000
s14,132,136,100,50,-4000
s15,141,140,100,51,-4000
s16,131,134,97,54,-4000
s17,135,137,103,50,-4000
s18,132,133,93,53,-4000
s19,139,136,96,50,-4000
s20,132,131,101,49,-4000
s21,126,133,102,51,-4000
s22,135,135,103,47,-4000
s23,134,124,93,53,-4000
s24,128,134,103,50,-4000
s25,130,130,104,49,-4000
s26,138,135,100,55,-4000
s27,128,132,93,53,-4000
s28,127,129,106,48,-4000
s29,131,136,114,54,-4000
s30,124,138,101,46,-4000
s31,124,138,101,48,-3300
s32,133,134,97,48,-3300
s33,138,134,98,45,-3300
s34,148,129,104,51,-3300
s35,126,124,95,45,-3300
s36,135,136,98,52,-3300
s37,132,145,100,54,-3300
s38,133,130,102,48,-3300
s39,131,134,96,50,-3300
s40,133,125,94,46,-3300
s41,133,136,103,53,-3300
s42,131,139,98,51,-3300
s43,131,136,99,56,-3300
s44,138,134,98,49,-3300
s45,130,136,104,53,-3300
s46,131,128,98,45,-3300
s47,138,129,107,53,-3300
s48,123,131,101,51,-3300
s49,130,129,105,47,-3300
s50,134,130,93,54,-3300
s51,137,136,106,49,-3300
s52,126,131,100,48,-3300
s53,135,136,97,52,-3300
s54,129,126,91,50,-3300
s55,134,139,101,49,-3300
s56,131,134,90,53,-3300
s57,132,130,104,50,-3300
s58,130,132,93,52,-3300
s59,135,132,98,54,-3300
s60,130,128,101,51,-3300
s61,137,141,96,52,-1850
s62,129,133,93,47,-1850
s63,132,138,87,48,-1850
s64,130,134,106,50,-1850
s65,134,134,96,45,-1850
s66,140,133,98,50,-1850
s67,138,138,95,47,-1850
s68,136,145,99,55,-1850
s69,136,131,92,46,-1850
s70,126,136,95,56,-1850
s71,137,129,100,53,-1850
s72,137,139,97,50,-1850
s73,136,126,101,50,-1850
s74,137,133,90,49,-1850
s75,129,142,104,47,-1850
s76,135,138,102,55,-1850
s77,129,135,92,50,-1850
s78,134,125,90,60,-1850
s79,138,134,96,51,-1850
s80,136,135,94,53,-1850
s81,132,130,91,52,-1850
s82,133,131,100,50,-1850
s83,138,137,94,51,-1850
s84,130,127,99,45,-1850
s85,136,133,91,49,-1850
s86,134,123,95,52,-1850
s87,136,137,101,54,-1850
s88,133,131,96,49,-1850
s89,138,133,100,55,-1850
s90,138,133,91,46,-1850
s91,137,134,107,54,-200
s92,141,128,95,53,-200
s93,141,130,87,49,-200
s94,135,131,99,51,-200
s95,133,120,91,46,-200
s96,131,135,90,50,-200
s97,140,137,94,60,-200
s98,139,130,90,48,-200
s99,140,134,90,51,-200
s100,138,140,100,52,-200
s101,132,133,90,53,-200
s102,134,134,97,54,-200
s103,135,135,99,50,-200
s104,133,136,95,52,-200
s105,136,130,99,55,-200
s106,134,137,93,52,-200
s107,131,141,99,55,-200
s108,129,135,95,47,-200
s109,136,128,93,54,-200
s110,131,125,88,48,-200
s111,139,130,94,53,-200
s112,144,124,86,50,-200
s113,141,131,97,53,-200
s114,130,131,98,53,-200
s115,133,128,92,51,-200
s116,138,126,97,54,-200
s117,131,142,95,53,-200
s118,136,138,94,55,-200
s119,132,136,92,52,-200
s120,135,130,100,51,-200
s121,137,123,91,50,150
s122,136,131,95,49,150
s123,128,126,91,57,150
s124,130,134,92,52,150
s125,138,127,86,47,150
s126,126,138,101,52,150
s127,136,138,97,58,150
s128,126,126,92,45,150
s129,132,132,99,55,150
s130,139,135,92,54,150
s131,143,120,95,51,150
s132,141,136,101,54,150
s133,135,135,95,56,150
s134,137,134,93,53,150
s135,142,135,96,52,150
s136,139,134,95,47,150
s137,138,125,99,51,150
s138,137,135,96,54,150
s139,133,125,92,50,150
s140,145,129,89,47,150
s141,138,136,92,46,150
s142,131,129,97,44,150
s143,143,126,88,54,150
s144,134,124,91,55,150
s145,132,127,97,52,150
s146,137,125,85,57,150
s147,129,128,81,52,150
s148,140,135,103,48,150
s149,147,129,87,48,150
s150,136,133,97,51,150